timestamp,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,total_bytes_per_sec,errors,drops
2026-01-04 12:19:28.450030,0.0,0.0,0.0,0.0,0.0,0,0
2026-01-04 12:19:29.451351,95.0,74.0,1.0,1.0,169.0,0,0
2026-01-04 12:19:30.452698,0.0,0.0,0.0,0.0,0.0,0,0
2026-01-04 12:19:31.454093,282.0,268.0,2.0,2.0,550.0,0,0
2026-01-04 12:19:32.455416,94.0,184.0,1.0,2.0,278.0,0,0
2026-01-04 12:19:33.456695,8091.0,11511.0,25.0,27.0,19602.0,0,0
2026-01-04 12:19:34.458177,0.0,250.0,0.0,3.0,250.0,0,0
2026-01-04 12:19:35.459524,86.0,368.0,1.0,4.0,454.0,0,0
2026-01-04 12:19:36.460526,430.0,424.0,4.0,4.0,854.0,0,0
2026-01-04 12:19:37.461961,86.0,66.0,1.0,1.0,152.0,0,0
2026-01-04 12:19:38.463350,200.0,432.0,2.0,5.0,632.0,0,0
2026-01-04 12:19:39.464762,0.0,92.0,0.0,1.0,92.0,0,0
2026-01-04 12:19:40.466094,506.0,346.0,5.0,4.0,852.0,0,0
2026-01-04 12:19:41.467486,2565.0,5126.0,13.0,12.0,7691.0,0,0
2026-01-04 12:19:42.468887,0.0,0.0,0.0,0.0,0.0,0,0
2026-01-04 12:19:43.469511,3651.0,902.0,13.0,11.0,4553.0,0,0
2026-01-04 12:19:44.470501,15355.0,19276.0,39.0,49.0,34631.0,0,0
2026-01-04 12:19:45.471521,11541.0,76182.0,32.0,85.0,87723.0,0,0
2026-01-04 12:19:46.472807,47641.0,148836.0,74.0,173.0,196477.0,0,0
2026-01-04 12:19:47.474125,383869.0,6304.0,300.0,77.0,390173.0,0,0
2026-01-04 12:19:48.474463,13757.0,167894.0,39.0,168.0,181651.0,0,0
2026-01-04 12:19:49.475502,287328.0,190131.0,262.0,193.0,477459.0,0,0
2026-01-04 12:19:50.476831,244263.0,144105.0,294.0,273.0,388368.0,0,0
2026-01-04 12:19:51.478139,223866.0,205635.0,252.0,273.0,429501.0,0,0
2026-01-04 12:19:52.478504,4268.0,22258.0,15.0,35.0,26526.0,0,0
2026-01-04 12:19:53.479504,27160.0,280276.0,68.0,269.0,307436.0,0,0
2026-01-04 12:19:54.480465,347889.0,177191.0,354.0,277.0,525080.0,0,0
2026-01-04 12:19:55.481883,56300.0,110811.0,106.0,161.0,167111.0,0,0
